baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_id,name,biotype,description,rank,is_interesting,patient_1,patient_2,patient_3,patient_6,patient_7,patient_8
701.0181835,-4.620979119,0.771351791,-5.99075438,2.09E-09,1.54E-07,ENSG00000108691,CCL2,protein_coding,C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618],19,no,0.241925749,-5.478458656,-3.905004412,-6.92075299,-9.789829615,-2.314693232
3838.677054,-4.539061814,0.6322292,-7.179456143,7.00E-13,1.14E-10,ENSG00000101981,F9,protein_coding,coagulation factor IX [Source:HGNC Symbol;Acc:HGNC:3551],20,no,-6.247380665,-2.702401229,-7.236811441,-2.658491097,-2.072436088,-6.440291202
5474.078459,-4.425359858,0.459809838,-9.624326176,6.31E-22,4.08E-19,ENSG00000160932,LY6E,protein_coding,lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727],21,no,-3.29937098,-6.683058738,-5.047557436,-4.2677631,-4.493640694,-3.032189136
1544.524717,-4.42119545,0.614872498,-7.190426417,6.46E-13,1.07E-10,ENSG00000176907,TCIM,protein_coding,transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357],22,no,-2.830788435,-6.767371694,-1.529595149,-5.806992245,-3.090061699,-6.446234732
1717.356614,-4.412981138,0.705741956,-6.252966965,4.03E-10,3.63E-08,ENSG00000159650,UROC1,protein_coding,urocanate hydratase 1 [Source:HGNC Symbol;Acc:HGNC:26444],23,no,0.398686291,-2.704489903,-8.663642804,-5.168976934,-4.965396136,-4.770212943
22770.74688,-4.390931028,0.812918993,-5.401437368,6.61E-08,2.95E-06,ENSG00000160868,CYP3A4,protein_coding,cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637],24,no,-1.574694731,0.96640718,-7.496350563,-7.755698359,-6.949727772,-2.320230826
183.8695127,-4.351010637,0.618398084,-7.035938099,1.98E-12,2.90E-10,ENSG00000176788,BASP1,protein_coding,brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957],25,no,-2.375740917,-7.153058369,-4.885773322,-6.374258948,-3.350476031,-2.726995763
2022.586915,-4.346956849,0.713276724,-6.094348381,1.10E-09,8.79E-08,ENSG00000149124,GLYAT,protein_coding,glycine-N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:13734],26,no,-5.238983422,0.559988897,-8.347901063,-5.988539614,-3.131929657,-3.293840485
700.7703388,-4.346497983,0.647953135,-6.708043759,1.97E-11,2.45E-09,ENSG00000109511,ANXA10,protein_coding,annexin A10 [Source:HGNC Symbol;Acc:HGNC:534],27,no,-6.488345193,-1.892351613,-1.862255951,-7.815259861,-4.759848618,-3.8103529
329.3505426,-4.284078931,0.586012928,-7.310553616,2.66E-13,4.80E-11,ENSG00000130812,ANGPTL6,protein_coding,angiopoietin like 6 [Source:HGNC Symbol;Acc:HGNC:23140],28,no,-2.278029708,-4.241608182,-8.517466873,-5.049882134,-3.180599768,-3.971942042
3609.9193,-4.257076086,0.733232439,-5.805902544,6.40E-09,4.01E-07,ENSG00000170509,HSD17B13,protein_coding,hydroxysteroid 17-beta dehydrogenase 13 [Source:HGNC Symbol;Acc:HGNC:18685],29,no,-9.353523259,-1.917785934,-5.459230243,-1.818662631,-6.621196263,-2.045231212
1021.231936,-4.248267816,0.514106555,-8.26339944,1.42E-16,4.31E-14,ENSG00000099998,GGT5,protein_coding,gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260],30,no,-1.419564902,-3.619378938,-5.833565748,-5.250475242,-5.003946961,-3.959212577
5160.945935,-4.228807364,0.546251808,-7.741498149,9.83E-15,2.47E-12,ENSG00000139547,RDH16,protein_coding,retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674],31,no,-6.930902993,-2.38299834,-5.74888918,-2.465502225,-4.491829124,-3.674834711
1365.066466,-4.178378235,0.785598626,-5.318718869,1.05E-07,4.34E-06,ENSG00000198077,CYP2A7,protein_coding,cytochrome P450 family 2 subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:2611],32,no,-4.709778694,-0.542016085,-4.702427805,-8.937007299,-5.799166769,0.576450467
911.0212135,-4.168588289,0.681943806,-6.112803218,9.79E-10,7.91E-08,ENSG00000164120,HPGD,protein_coding,15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154],33,no,-6.971373524,-7.236513437,-1.895685622,-4.329734385,-4.188376565,-0.429234748
28491.32601,-4.129360007,0.725593089,-5.691013417,1.26E-08,7.05E-07,ENSG00000166741,NNMT,protein_coding,nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861],34,no,-0.881170259,-5.119729049,0.078064339,-7.519511308,-3.763476282,-6.512810383
18879.90233,-4.119126898,1.101612485,-3.739179572,0.000184622,0.002408306,ENSG00000134339,SAA2,protein_coding,serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514],35,no,-1.920020148,-6.980312512,-6.082707623,-1.278935305,0.290389047,-9.675659469
1252.61727,-4.051154838,0.669491562,-6.051091705,1.44E-09,1.12E-07,ENSG00000106624,AEBP1,protein_coding,AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303],36,no,-0.378119539,-3.90296772,-7.396110157,-5.784812859,-4.847667533,-1.607740207
65257.1589,-4.025122852,0.707352839,-5.690403192,1.27E-08,7.05E-07,ENSG00000173432,SAA1,protein_coding,serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513],37,no,-2.556409105,-6.529116355,-4.507498624,-2.931243881,0.332761564,-7.888948594
